feature,completeness,mi_subtype,mi_stage,score
MCADAY,0.9670686456400742,0.0,0.0,0.09670686456400743
MCAMONTH,0.9670686456400742,0.0,0.0,0.09670686456400743
FINAL_SEX_ENCODED,0.8181818181818182,0.013107404554572932,0.022239731071101332,0.09635454387225599
FEATDYSPHG,0.897495361781076,0.00684987314177965,0.007557482925696135,0.09612670494088424
FEATSEXDYS,0.8970315398886828,0.004742476075542346,0.009333830554769662,0.0953487888006246
FEATPOSHYP,0.897495361781076,0.0030325918602782664,0.009548723200946796,0.0944337082545586
NP4FLCTI,0.8042671614100185,0.014746635004797337,0.015536776054468682,0.09393572996022087
NP4OFF,0.8042671614100185,0.007945295325777035,0.021734931264730584,0.09171437271588725
NP4DYSTN,0.8042671614100185,0.0031983612806480988,0.025077017400447765,0.08986883812952505
SCOPA_SCAU22,0.6567717996289425,0.017623169972517783,0.04352793946181599,0.08930946378494972
NHY_ON,0.577922077922078,0.013918923880173573,0.0682461361805462,0.0866174029744758
COGCAT,0.6396103896103896,0.006384772144105044,0.06083484280125351,0.08604235508787805
NP4DYSKI,0.8042671614100185,0.0,0.012311759807599465,0.0841202440832817
SCOPA_SCAU23A,0.6238404452690167,0.01685760678789716,0.03728838813743618,0.08368512504087082
NP4TOT,0.8014842300556586,0.0,0.005788322773687682,0.08188491983767217
NP4FLCTX,0.8042671614100185,0.0,0.0,0.08042671614100186
SCOPA_SCAU23,0.6567717996289425,0.0,0.04407061849826732,0.07889836551237445
SCOPA_SCAU25,0.4805194805194805,0.018379803052112065,0.049742380679869136,0.07400254408717603
NHY_OFF,0.4294990723562152,0.027321583446721087,0.04416317468178743,0.0725918097081904
SCOPA_SCAU24,0.4809833024118738,0.008937845770292885,0.001612249810915678,0.05394471264663782
FEATNEURSS,0.28061224489795916,0.02988557427929983,0.0,0.045992569057375816
FEATSUGRBD,0.28061224489795916,0.011335283666019436,0.030095260285007974,0.04389097277490997
FEATDYSART,0.28061224489795916,0.007446754503825481,0.019816923458142455,0.03847435422953394
FEATGZEPAL,0.28061224489795916,0.0,0.03053882646992445,0.037222872430773254
FEATMCRGRA,0.28061224489795916,0.01376110793624652,0.0,0.03631788925154383
FEATSHGAIT,0.28061224489795916,0.0,0.02623648289631486,0.035932169358690376
